,sentence,label
1110120,I wanted to go to the Cyndi Lauper concert in Munich... but now it's canceled ,0
745663,Ceremony in 20 mins ,1
1940,"Has blanked miquita oliver, nick grimshaw and the jonas brothers! Great day so far ",1
13500,True blood season 2 ,1
1069752,@Alexxan hahaha. tweetspam?  could be worse!,1
1275661,"@Akula Yup. It's live at 11am your time on Thursday. Speaking of, I'll be on campus Monday and Tuesday again. No where near you though. ",0
356724,@Shylita damn... I wish I had some $! broke like a joke&lt;---- not funny! ,0
1339588,"@reba wow 8 different looks , Reba you are very busy this days , but you always have time for fun that's nice ",1
410775,Horrible headache to deal with now! N idk if i'ma see my corey this weekend ,0
1090268,time to put on rubber boots and do chores. Humm. Irrigation boots and shorts; always in fashion here. ,1
540101,"@jeaneties yeah, I really am a Loner, I even walk alone these days ",0
49618,Not looking forward to today ,0
1040736,is sooo sick!  And going in for surgery on thursday,0
1413106,@x_charlotteee you said its too heavy for me to do that  and i said  ... lmaooo,0
168628,@mileycyrus please come to denmark soon!  &lt;33,1
774924,"I didnt use my time wisely. SOJU, MOBTV. EATING. PROCRASTINATING. ",0
1564255,So sick! Stupid vacation  fever swollen throat FML,0
739257,going out....can't wait for next week. ,1
83400,is SAD...  ,0
569861,I really hate iTunes right now ,0
1286580,ughhh i need to lose at least 15 pounds in less than 3 months  fml,0
1342405,"I'm on a super high right now!! cheer up everybody, after all....doot da doo life's good! priority @mileycyrus tickets BO'YEAH  xoxo",1
887096,@gsik if u figure it out please tell me. I'm struggling with mtnl too ,0
601411,Completely out of sorts right now. This is the precise reason I avoid even 15 minute naps during the day. Blech. ,0
1116107,BOm dia people ,1
385902,@officialTila We can play dress up and go shopping and I can design you hot clothes!! ,1
1033358,@LindsayLaird I am lost. Please help me find a good home. ,0
450940,@zaigalib that is an incomplete statement ,1
1394773,My boss took my position at the register. Now I have to limp around. Pooface. ,0
637711,@circasurvive watched how it ends online and apparently there were permit issues?? update us please! ,0
746788,is in floww-reee-duhhh  sarasota/tampa bay area with the loves.,1
1474451,we're putting up the trampoline  The snow has finally melted enough in the front yard.,1
206856,"@TheBestDertEver which also, btw, worked with the konami code ",1
321029,Fine time for my computer to freeze ,0
1589952,Just woke up... Missing her pimp daddy  Thinking about what I want to do today... hmmmm,0
880707,"for the past week, when i woke up in the morninq, i didnt even bother lookinq out the window cuz i knew RAIN was the verdict ",0
1564858,mythbusters just told me that Point Break is not real! ,0
1321453,Awake... Wondering... What am I doing? Seriously... It's like I don't have a heart anymore... ,0
547510,"@shilkytouch the little I saw was pretty good...but alas, been busy all day so have missed much ",0
104258,GO FIRE!!!!! Soccer game with Alex!!!!   http://mypict.me/2KCs,1
1297682,"@erinmorrrissey Glad you r doin well! Me 2! Take care Erin and remember, irish eyes are smilin!!!   ",1
1234566,MY PHONE IS DEAD!!!  guess i'm getting that blackberry sooner than I thought...,0
855267,Only 1 person noticed I wore my s'moovs shirt on today.  That means the pop culture phenomena is fading ,0
337196,i feel sick  &amp; i just turned on my laptop ill be fixing my myspace page!,0
249093,@Tremore why not share with the world your technological discovery? ,0
843119,Txting friends.....my day is going so good so far       ,1
425175,@jordanknight Morning! Where are you going? Leaving us sooo soon! ,0
1088779,mummy just said that I'm FAT....again.... sob ... ,0
889771,guys are more romantic than girls....end of story ,1
3922,has very low vitamin D ,0
938527,@LTLline:hey johnta can say whatever he wants i'm a true lifer  and i'm ok with him speaking his mind ,1
880386,"@JonathanRKnight Even those of us who have been 2 shows already would still be sad.don't know what pple sd,but ur post sounds kinda mean ",0
806316,I forgot my sailor uniform and lost my wallet I can't cut a break ,0
